Link ID,From Node,To Node,LENGTH,KIND,WIDTH,DIRECTION,ONEWAY,PATHPY
0,0,8193,0.215663,301,30,2,F,an hui qiao
1,0,7229,0.186497,301,55,3,T,an hui qiao
2,1,4070,0.620923,601,55,1,None,None
3,2,10015,0.090603,105,30,2,F,xi tu cheng lu
4,2,6983,0.300077,102,55,2,F,xi tu cheng lu
5,3,1880,0.286643,302,55,3,T,fu cheng lu
6,3,9949,0.013246,304,55,0,None,None
7,4,9048,0.029685,301,55,2,F,shi ba li dian qiao
8,5,8026,0.129687,602,55,3,T,cui wei lu
9,5,831,0.196066,601,55,2,F,None
10,6,2404,0.223541,601,55,1,None,dong guan tou jie
11,6,5181,0.04698,602,55,3,T,dong guan tou jie
12,7,4029,0.155549,301,30,2,F,yao wa hu qiao
13,8,4473,0.035279,301,130,3,T,None
14,8,9322,0.199623,302,130,2,F,chao yang bei lu
15,9,2299,0.051962,301,55,3,T,nan si huan xi lu fu lu
16,9,2467,0.05875,304,30,3,T,None
17,10,5941,0.121139,102,130,3,T,si huan
18,11,4808,0.150587,602,55,3,T,dong ran bei jie
19,11,7425,0.009333,604,30,0,None,None
20,12,4114,0.032713,301,55,2,F,nan san huan dong lu fu lu
21,13,8721,0.058193,601,55,1,None,cai hu ying lu
22,13,426,0.737494,601,55,1,None,None
23,13,8972,0.383683,301,30,3,T,cai hu ying nan lu
24,14,1377,0.197559,601,55,1,None,shun si tiao
25,15,7304,0.190237,601,55,1,None,tuan jie hu lu
26,15,962,0.018724,404,55,1,None,None
27,16,6732,0.141387,601,30,3,T,nan yuan lu
28,17,2397,0.016012,301,55,3,T,nan san huan zhong lu fu lu
29,18,359,0.228247,301,30,2,F,dong zhi men qiao
30,20,5436,0.505833,102,130,3,T,si huan
31,20,7197,0.179799,102,130,2,F,si huan
32,20,1175,0.0367,105,55,2,F,si huan
33,22,10204,0.185829,601,30,3,T,xi da wang lu
34,23,5785,0.158941,301,55,3,T,ding hui qiao
35,23,3391,0.189534,301,55,3,T,ding hui qiao
36,24,10529,0.84669,102,55,2,F,er huan
37,24,10562,0.089704,105,30,2,F,er huan
38,25,1713,0.191344,402,130,2,F,guang qu lu
39,25,7827,0.031096,401,30,3,T,None
40,26,2228,1.364593,601,55,1,None,qing nian gou lu
41,26,7157,0.501782,5,30,3,T,jing cheng gao su gong lu
42,27,1986,0.056254,105,30,3,T,er huan
43,27,2229,0.187293,301,55,2,F,an ding men dong da jie
44,28,9832,0.007121,601,55,2,F,guang an men wai da jie
45,28,1262,0.169813,601,55,3,T,guang an men wai da jie
46,29,10106,0.082839,301,130,2,F,fu cheng lu
47,30,4313,0.300445,301,55,2,F,lian hua chi xi lu
48,31,9905,0.321707,601,55,0,None,None
49,32,5113,0.126714,302,55,2,F,ya zi qiao lu
50,32,7494,0.158102,602,55,3,T,bai zhi fang xi jie
51,32,2647,0.019544,301,55,1,None,guang an men nan jie
52,33,8180,0.551374,601,130,2,F,bei chen lu
53,33,4794,0.012118,604,130,1,None,None
54,33,10668,0.088737,602,55,2,F,None
55,34,2161,0.057933,601,55,2,F,li ze lu
56,34,914,0.015158,604,55,2,F,None
57,35,8890,0.025466,602,55,3,T,xing fu da jie
58,36,6296,0.368729,602,55,2,F,dian chang lu
59,36,1982,0.309686,601,55,1,None,None
60,37,1306,0.01011,604,55,2,F,None
61,37,5500,0.01724,060a,55,0,None,None
62,37,3085,0.009402,604,55,2,F,None
63,37,9350,0.014024,602,55,3,T,None
64,38,109,0.016659,602,55,3,T,jin tong dong lu
65,38,10351,0.323996,601,55,0,None,jing hua nan jie
66,39,2609,0.168007,601,30,2,F,chao yang lu
67,39,99,0.305421,601,55,3,T,chao yang lu
68,40,2954,0.183524,301,55,2,F,lian hua chi dong lu
69,41,4777,0.163251,601,55,1,None,None
70,41,1164,0.010434,601,55,1,None,da mu cang hu tong
71,42,6226,0.186094,602,55,2,F,zhan lan guan lu
72,43,8984,0.133982,601,55,1,None,jing hua nan jie
73,43,3524,0.004775,601,55,0,None,None
74,43,8966,0.017557,602,55,3,T,None
75,44,2347,0.066458,601,30,2,F,None
76,44,7190,0.036108,601,30,2,F,nan yuan lu
77,45,10682,0.48033,102,55,3,T,san huan
78,46,4780,0.115198,302,130,2,F,fu xing lu
79,47,6129,0.213286,601,130,1,None,bei he yan da jie
80,47,6722,0.273727,601,130,1,None,bei he yan da jie
81,47,8418,0.406432,601,30,1,None,qi he lou bei xiang
82,48,1932,0.572451,102,55,2,F,tong hui he bei lu gao su gong lu
83,49,1784,0.369401,601,30,2,F,xi da wang lu
84,49,497,0.368707,602,55,2,F,xi da wang lu
85,49,9938,0.133607,602,130,3,T,xi da wang lu
86,50,441,0.011485,300,55,2,F,xin xing qiao
87,52,6203,0.091044,602,55,2,F,shan yuan jie
88,52,7084,0.009825,604,55,0,None,None
89,53,2627,0.485959,102,130,3,T,si huan
90,54,3748,0.39582,402,130,2,F,zhong guan cun nan da jie
91,54,3855,0.083051,802,55,3,T,None
92,55,5655,0.359943,402,130,3,T,li ze lu
93,56,8470,0.057356,301,55,2,F,dong zhi men nan da jie
94,57,9024,0.346381,3,30,2,F,jing tong kuai su gong lu
95,58,3816,0.12686,601,55,1,None,bai wan zhuang nan jie
96,58,2194,0.262059,601,55,1,None,bai wan zhuang nan jie
97,59,10489,0.148311,202,55,2,F,yong ding men wai da jie
98,59,746,0.014983,604,55,1,None,None
99,60,9761,0.004223,300,55,2,F,wan quan he qiao
100,60,3557,0.045379,301,30,3,T,wan quan he qiao
101,61,2304,0.049691,601,55,1,None,None
102,61,7404,0.312184,601,30,3,T,dong huang cheng gen nan jie
103,61,9724,0.169321,601,30,2,F,dong huang cheng gen nan jie
104,62,624,0.014101,404,55,2,F,None
105,62,10044,0.113273,402,130,2,F,zhu shi kou xi da jie
106,62,7991,0.011474,404,130,3,T,None
107,63,5947,0.528576,301,30,2,F,xi san huan nan lu fu lu
108,64,9150,0.021851,601,30,3,T,xuan wu men nei da jie
109,65,8360,0.30353,601,130,1,None,jing kai xi lu
110,65,4229,0.213006,601,55,1,None,None
111,66,7430,1.442132,601,55,1,None,dong hua men da jie
112,67,4367,0.169541,402,55,2,F,hua yuan dong lu
113,68,10172,0.339425,602,55,3,T,da cheng lu
114,68,1540,0.016368,604,30,1,None,None
115,69,1568,0.170335,601,30,2,F,an ding lu
116,69,3604,0.281024,601,55,0,None,jian an dong lu
117,70,6152,0.040484,301,55,2,F,nan san huan dong lu fu lu
118,71,5101,0.085222,300,55,2,F,None
119,72,3094,0.042411,601,55,1,None,kun ming hu nan lu
120,73,8556,0.25644,105,55,2,F,xi zhi men wai da jie
121,74,5841,0.040902,301,55,2,F,shuang long lu
122,75,701,0.133933,301,55,2,F,xi si huan nan lu fu lu
123,76,8838,0.145856,302,130,3,T,fu cheng men wai da jie
124,77,7320,0.016657,601,55,0,None,None
125,78,857,0.163152,302,130,2,F,song yu nan lu
126,79,2145,0.040951,304,130,3,T,None
127,79,727,0.016322,304,55,2,F,None
128,80,5691,0.016695,604,30,1,None,None
129,80,4733,0.01079,604,30,1,None,None
130,80,9735,0.147672,602,55,3,T,cao qiao dong lu
131,81,4170,0.07803,402,130,2,F,luo ma shi da jie
132,82,1599,0.024468,301,130,3,T,bei si huan xi lu fu lu
133,83,2652,0.043356,301,55,2,F,si fang qiao
134,83,3197,0.064838,304,30,2,F,None
135,84,365,0.05644,601,30,2,F,bei chen xi lu
136,85,8497,0.056421,304,30,3,T,None
137,85,5259,0.320698,301,55,2,F,nan si huan zhong lu fu lu
138,86,7930,0.176177,301,55,2,F,bei si huan zhong lu fu lu
139,86,7642,0.188941,301,130,2,F,bei si huan zhong lu fu lu
140,87,88,0.36274,2,130,2,F,jing kai gao su gong lu
141,87,770,0.049756,5,30,2,F,jing kai gao su gong lu
142,88,6800,0.207947,3,55,2,F,jing kai gao su gong lu
143,89,2513,0.386933,102,130,3,T,lian hua chi dong lu
144,89,623,0.071722,105,30,3,T,lian hua chi dong lu
145,90,7656,0.167531,301,55,3,T,dong san huan nan lu fu lu
146,91,181,0.228469,601,55,1,None,None
147,92,9674,0.164371,601,55,0,None,zhuang wei lu
148,92,722,0.124396,602,30,2,F,zhuang wei lu
149,92,3991,0.124694,602,30,3,T,zhuang wei lu
150,93,6443,0.228864,102,130,3,T,er huan
151,94,3099,0.331461,601,55,1,None,wu jia chang lu
152,94,3895,0.170213,601,55,1,None,lian bao zhong lu
153,95,4358,0.092347,602,55,2,F,guang ming lu
154,95,8751,0.017547,604,55,0,None,None
155,96,4507,0.172298,402,130,3,T,guang an men qiao
156,97,5644,0.049246,103,30,2,F,er huan
157,97,7212,0.054106,103,30,3,T,er huan
158,97,2665,0.150428,105,30,3,T,er huan
159,98,3586,0.011459,604,55,3,T,None
160,98,3212,0.089978,602,55,3,T,hai dian zhong jie
161,98,6886,0.010776,604,55,2,F,None
162,99,8200,0.006838,604,55,1,None,None
163,99,9644,0.068897,601,55,3,T,chao yang lu
164,100,7065,0.300334,604,55,0,None,None
165,100,8741,0.235592,601,30,2,F,jian guo men wai da jie
166,101,1088,0.14224,602,55,2,F,dian chang lu
167,101,8246,0.011325,604,30,1,None,None
168,102,7272,0.011918,301,130,2,F,dong san huan zhong lu fu lu
169,102,10120,0.047984,304,30,2,F,None
170,102,10551,0.22772,301,130,3,T,dong san huan zhong lu fu lu
171,103,4804,0.317838,602,55,2,F,zuo an men nei da jie
172,103,4668,0.536463,601,55,1,None,long tan lu
173,104,7292,0.203939,301,55,3,T,de sheng men xi da jie
174,104,5612,0.033501,105,30,3,T,er huan
175,105,3509,0.153117,601,55,1,None,None
176,105,6325,0.134159,601,55,1,None,None
177,106,3694,0.340367,601,30,3,T,chao yang men wai da jie
