Link ID,From Node,To Node,LENGTH,ID,POSSPEED,ROADWIDTH,FC,DIR,PYNAME
0,1,4912,0.2988,11834,70,8,4,0,None
1,1,4323,1.76679,12298,70,12,1,0,NAN BEI GAO JIA LU
2,2,4178,0.10156,11317,30,4,7,0,None
3,2,10590,0.027467,9272,60,12,4,0,HU TAI LU
4,3,5073,0.258642,80605,40,8,7,0,None
5,3,1221,0.058716,73713,30,8,7,0,QI SHAN LU
6,4,4216,0.02195,74365,40,8,7,0,XIANG CHENG LU
7,5,586,0.093659,68903,40,8,7,0,LING YAN NAN LU
8,5,2924,0.157983,68904,30,4,7,0,SI PU LU
9,6,7712,0.028447,7183,30,4,7,0,SHA JING LU
10,8,5306,0.220746,74020,30,8,7,0,DONG SHU FANG LU
11,8,619,0.20955,76778,30,8,7,0,GU QUAN LU
12,9,10393,0.092511,46277,40,4,5,0,None
13,9,9435,0.072506,17293,40,8,5,0,None
14,10,1408,0.324397,17103,50,4,7,0,NAN DAN LU
15,10,359,0.217998,15823,40,6,7,0,WEN DING LU
16,12,208,0.188372,42056,40,8,7,0,LONG SHUI NAN LU
17,12,9206,0.158736,14969,30,6,7,0,None
18,13,10865,0.296763,11971,30,4,7,0,None
19,14,5296,0.097799,19576,60,16,4,0,ZHONG SHAN NAN LU
20,15,9308,0.214441,7943,40,8,7,0,MIN HE LU
21,15,1085,0.158194,19361,30,6,7,0,PING XING GUAN LU
22,16,4394,0.192891,5040,50,8,7,0,SI CHUAN BEI LU
23,16,8687,0.008093,7048,40,12,7,0,LI YANG LU
24,17,2018,0.140167,12858,40,6,7,0,DUO JIA LU
25,17,5094,0.173068,19574,30,6,7,0,XUE JIA BANG LU
26,17,2199,0.126702,13427,30,6,7,0,XUE JIA BANG LU
27,18,5305,0.053882,9336,40,-1,7,0,None
28,18,10390,0.100951,9333,40,12,6,0,None
29,19,7469,0.284392,74430,50,12,7,0,WEI FANG LU
30,20,4554,0.035339,17363,40,4,6,0,None
31,20,9203,0.11633,14753,50,12,4,0,HONG XU LU
32,21,7362,0.110949,20180,50,8,7,0,GU BEI LU
33,21,5934,0.008436,20179,40,8,7,0,RONG HUA DONG DAO
34,22,6773,0.008956,17448,50,4,7,0,None
35,22,7495,0.081115,17449,40,8,7,0,CHANG LE LU
36,23,6266,0.244114,65685,60,8,6,0,DONG FANG LU
37,23,6956,0.008043,65684,60,8,6,0,None
38,24,10854,0.013064,18426,50,12,4,0,CHONG QING NAN LU
39,24,10159,0.003214,9411,60,16,6,0,None
40,25,10086,0.233572,8220,50,8,7,0,LONG CHANG LU
41,26,10825,0.217168,42534,40,8,7,0,NEI JIANG LU
42,26,652,0.269942,7995,40,8,7,0,None
43,27,9953,0.334568,71653,40,8,7,0,LAN TIAN LU
44,27,4417,0.145221,65552,40,8,7,0,BAI HUA LU
45,28,1564,0.003359,19445,50,8,7,0,HUANG PI NAN LU
46,28,4685,0.06672,18199,40,-1,7,0,None
47,29,2472,0.240721,12414,50,8,6,0,JIANG SU LU
48,29,6280,0.179695,12415,40,8,7,0,ZHAO HUA DONG LU
49,29,3583,0.008051,12413,40,8,7,0,None
50,30,2362,0.008445,93240,50,8,7,0,YAO LONG LU
51,30,1226,0.480219,76259,50,8,7,0,YAO HUA LU
52,31,4970,0.211213,69064,30,6,7,0,WU XING ZHI LU
53,31,4662,0.566564,69145,30,6,7,0,WU XING ZHI LU
54,31,4839,0.270391,69063,40,8,7,0,WU XING LU
55,32,7707,0.251496,11380,40,8,7,0,GAO PING LU
56,32,1860,0.315605,11379,40,8,7,0,JIANG CHANG XI LU
